main_class;additional_class;filename;x_left_bottom;y_left_bottom;length;width
сколы;скол на передней панели;photo_2024-01-10_13-04-14.jpg;519;621;54;68
сколы;скол на передней панели;photo_2024-02-20_16-09-24.jpg;398;556;33;31
;повреждены буквы на передней панели;photo_2024-01-10_13-59-24.jpg;488;563;73;113
;повреждён и отсутствуют 2 буквы на логотипе;photo_2024-02-20_17-18-53.jpg;341;846;117;546
;повреждены буквы на передней панели;photo_2024-01-10_13-59-24.jpg;483;565;81;101
;два скола на передней панели;2024-01-15 13-53-15.jpg;1469;1625;165;161
;два скола на передней панели;2024-01-15 13-53-15.jpg;1701;2201;157;145
;некорректно смонтирован замок и рядом царапина;2024-01-15 15-06-18.jpg;1369;2427;545;411
;некорректно смонтирован замок и рядом царапина;2024-01-15 16-38-47.jpg;1341;2597;373;457
;несколько царапин на передней модели;2024-01-15 16-47-45.jpg;1475;1745;731;417
;небольшая впадина на передней панели;2024-01-15 16-59-47.jpg;1353;2381;225;277
;некорректно смонтировано крепление и царапина рядом;2024-01-15 17-24-33.jpg;785;2369;969;1081
;повреждён ободок экрана компьютера в углу;2024-01-15 17-59-10.jpg;1173;1841;477;437
;некорректно смонтировано крепление и царапина рядом;2024-01-15 18-20-26.jpg;1389;2279;509;595
;скол на торце передней панели и царапина на торце задней панели;2024-01-15 18-36-12.jpg;1233;2321;785;553
;некорректно смонтировано крепление и царапина рядом;2024-01-15 18-47-18.jpg;1192;2299;479;602
;некорректно смонтировано крепление и скол на торце передней панели;2024-01-15 18-50-29.jpg;103;1858;183;127
;некорректно смонтировано крепление и скол на торце передней панели;2024-01-15 18-50-29.jpg;359;2594;383;265
;белая точка на экране;photo_2023-10-20_14-58-22 (2).jpg;444;674;65;51
;пятно на экране;photo1705066481.jpeg;514;279;51;43
;некорректно смонтировано крепление и рядом на торце скол;2023-12-26 15-16-46.jpg;565;1653;317;245
;некорректно смонтировано крепление и рядом на торце скол;2023-12-26 15-16-46.jpg;1901;3097;213;153
